gender,party,race,age_at_year_end
Male,Democratic,Black or African American,27
Male,Unaffiliated,White,60
Male,Unaffiliated,Undesignated,46
Female,Democratic,White,32
Female,Democratic,White,38
Unspecified,Unaffiliated,Undesignated,41
Male,Unaffiliated,Black or African American,49
Female,Unaffiliated,White,23
Female,Republican,Black or African American,30
Female,Unaffiliated,White,81
Male,Democratic,Black or African American,79
Male,Democratic,Black or African American,60
Male,Unaffiliated,White,53
Male,Unaffiliated,Undesignated,61
Male,Democratic,Black or African American,50
Male,Democratic,White,40
Male,Democratic,Black or African American,31
Male,Democratic,White,37
Male,Unaffiliated,American Indian or Alaska Native,85
Male,Democratic,Black or African American,72
Male,Unaffiliated,White,34
Male,Democratic,White,39
Male,Republican,Undesignated,35
Female,Democratic,White,65
Female,Democratic,White,80
Male,Democratic,Black or African American,28
Female,Unaffiliated,Black or African American,50
Female,Democratic,Black or African American,21
Female,Unaffiliated,White,25
Female,Unaffiliated,White,19
Female,Democratic,White,56
Unspecified,Unaffiliated,Undesignated,43
Unspecified,Unaffiliated,White,26
Female,Republican,White,63
Male,Republican,White,25
Female,Democratic,Black or African American,23
Female,Democratic,Asian,65
Male,Unaffiliated,White,41
Male,Unaffiliated,Black or African American,43
Unspecified,Unaffiliated,Undesignated,21
Male,Republican,White,60
Male,Unaffiliated,Black or African American,21
Female,Unaffiliated,Black or African American,46
Female,Democratic,Black or African American,42
Female,Democratic,Black or African American,55
Female,Democratic,White,69
Male,Democratic,Black or African American,62
Female,Democratic,White,52
Female,Democratic,Black or African American,59
Female,Democratic,White,36
Female,Democratic,Black or African American,57
Female,Democratic,Black or African American,59
Female,Democratic,Black or African American,57
Female,Democratic,Black or African American,74
Female,Democratic,Black or African American,83
Female,Unaffiliated,White,34
Female,Democratic,Black or African American,71
Male,Republican,White,70
Female,Unaffiliated,White,35
Male,Unaffiliated,White,56
Female,Democratic,Black or African American,48
Female,Unaffiliated,White,60
Male,Unaffiliated,White,32
Male,Republican,White,37
Male,Democratic,White,29
Female,Democratic,Black or African American,58
Female,Unaffiliated,Black or African American,23
Female,Democratic,Black or African American,68
Unspecified,Republican,White,31
Male,Unaffiliated,White,39
Male,Democratic,White,45
Male,Democratic,White,24
Female,Democratic,Black or African American,59
Female,Unaffiliated,Black or African American,18
Female,Unaffiliated,White,54
Female,Democratic,Black or African American,42
Female,Democratic,Black or African American,65
Female,Democratic,Black or African American,89
Female,Democratic,White,69
Female,Democratic,Black or African American,42
Unspecified,Democratic,White,41
Unspecified,Democratic,Undesignated,40
Male,Unaffiliated,Black or African American,18
Male,Unaffiliated,White,42
Female,Democratic,White,49
Unspecified,Democratic,White,54
Male,Unaffiliated,White,30
Female,Republican,White,61
Female,Democratic,White,63
Female,Libertarian,White,67
Female,Unaffiliated,White,43
Male,Unaffiliated,Black or African American,43
Female,Democratic,Undesignated,64
Female,Unaffiliated,White,67
Unspecified,Libertarian,Undesignated,48
Male,Unaffiliated,Asian,44
Male,Republican,White,45
Unspecified,Unaffiliated,Undesignated,30
Male,Democratic,Black or African American,63
Female,Democratic,White,36
Female,Unaffiliated,White,36
Female,Democratic,Black or African American,63
Female,Unaffiliated,White,56
Female,Unaffiliated,Undesignated,73
Female,Democratic,Black or African American,63
Male,Democratic,White,67
Male,Democratic,Black or African American,68
Male,Republican,White,76
Male,Unaffiliated,White,75
Male,Republican,White,67
Female,Unaffiliated,White,79
Female,Democratic,Black or African American,30
Female,Democratic,Undesignated,89
Male,Democratic,Black or African American,41
Female,Republican,Black or African American,51
Female,Unaffiliated,White,26
